SIB1 additional size (bytes),Time duration to transmit (milliseconds),BelowThreshold,AboveThreshold
8,802.06,802.06,
16,806.843,,806.843
32,804.289,,804.289
64,805.411,,805.411
128,802.727,802.727,
255,809.047,,809.047
8,805.341,,805.341
16,785.239,785.239,
32,808.127,,808.127
64,802.57,802.57,
128,797.929,797.929,
255,803.108,,803.108
8,802.647,802.647,
16,804.801,,804.801
32,802.812,,802.812
64,809.27,,809.27
128,801.706,801.706,
255,808.386,,808.386
8,804.955,,804.955
16,784.105,784.105,
32,798.461,798.461,
64,800.377,800.377,
128,801.702,801.702,
255,807.02,,807.02
8,783.87,783.87,
16,803.823,,803.823
32,804.254,,804.254
64,786.41,786.41,
128,807.5,,807.5
255,806.829,,806.829
8,808.087,,808.087
16,773.02,773.02,
32,807.356,,807.356
64,784.375,784.375,
128,804.366,,804.366
255,807.455,,807.455
8,800.918,800.918,
16,780.272,780.272,
32,801.917,801.917,
64,806.959,,806.959
128,804.207,,804.207
255,807.074,,807.074
8,801.681,801.681,
16,804.583,,804.583
32,804.047,,804.047
64,807.069,,807.069
128,803.653,,803.653
255,803.23,,803.23
8,805.115,,805.115
16,805.934,,805.934
32,803.94,,803.94
64,805.283,,805.283
128,803.08,,803.08
255,804.239,,804.239
8,781.346,781.346,
16,808.958,,808.958
32,801.81,801.81,
64,797.032,797.032,
128,803.356,,803.356
255,804.613,,804.613
8,802.254,802.254,
16,806.688,,806.688
32,780.059,780.059,
64,802.717,802.717,
128,803.814,,803.814
255,802.754,802.754,
8,806.077,,806.077
16,804.619,,804.619
32,807.045,,807.045
64,778.505,778.505,
128,809.003,,809.003
255,805.763,,805.763
8,803.326,,803.326
16,782.213,782.213,
32,811.242,,811.242
64,804.473,,804.473
128,807.4,,807.4
255,783.153,783.153,
8,784.907,784.907,
16,802.554,,802.554
32,806.688,,806.688
64,804.987,,804.987
128,802.707,802.707,
255,780.199,780.199,
8,805.241,,805.241
16,805.213,,805.213
32,802.619,,802.619
64,802.546,802.546,
128,804.393,,804.393
255,802.647,802.647,
8,781.901,781.901,
16,802.841,,802.841
32,805.848,,805.848
64,808.501,,808.501
128,803.293,,803.293
255,804.726,,804.726
8,806.645,,806.645
16,803.859,,803.859
32,806.212,,806.212
64,801.053,801.053,
128,808.781,,808.781
255,804.615,,804.615
8,805.643,,805.643
16,803.437,,803.437
32,803.262,,803.262
64,803.539,,803.539
128,804.297,,804.297
255,805.45,,805.45
8,804.087,,804.087
16,803.053,,803.053
32,805.621,,805.621
64,804.992,,804.992
128,801.796,801.796,
255,804.974,,804.974
8,802.993,,802.993
16,805.721,,805.721
32,803.858,,803.858
64,805.796,,805.796
128,804.541,,804.541
255,799.221,799.221,
8,803.637,,803.637
16,807.503,,807.503
32,804.609,,804.609
64,806.624,,806.624
128,806.12,,806.12
255,806.114,,806.114
8,806.559,,806.559
16,777.01,777.01,
32,803.494,,803.494
64,799.885,799.885,
128,804.567,,804.567
255,805.121,,805.121
8,805.031,,805.031
16,806.319,,806.319
32,779.387,779.387,
64,802.98,802.98,
128,801.908,801.908,
255,776.081,776.081,
8,805.21,,805.21
16,805.98,,805.98
32,803.504,,803.504
64,800.157,800.157,
128,805.944,,805.944
255,781.799,781.799,
8,801.26,801.26,
16,803.007,,803.007
32,803.478,,803.478
64,811.873,,811.873
128,803.466,,803.466
255,804.68,,804.68
8,809.883,,809.883
16,803.138,,803.138
32,802.37,802.37,
64,802.535,802.535,
128,806.194,,806.194
255,804.191,,804.191
8,806.002,,806.002
16,802.423,,802.423
32,803.711,,803.711
64,799.488,799.488,
128,804.934,,804.934
255,780.583,780.583,
8,801.86,801.86,
16,804.994,,804.994
32,778.321,778.321,
64,804.355,,804.355
128,803.359,,803.359
255,807.196,,807.196
8,780.569,780.569,
16,803.288,,803.288
32,803.385,,803.385
64,806.728,,806.728
128,801.707,801.707,
255,800.712,800.712,
8,804.18,,804.18
16,780.568,780.568,
32,801.477,801.477,
64,802.508,802.508,
128,803.684,,803.684
255,799.607,799.607,
8,779.289,779.289,
16,802.311,,802.311
32,803.128,,803.128
64,803.901,,803.901
128,780.684,780.684,
255,803.526,,803.526
8,803.897,,803.897
16,805.345,,805.345
32,804.497,,804.497
64,779.683,779.683,
128,805.138,,805.138
255,804.375,,804.375
8,829.187,,829.187
16,804.822,,804.822
32,805.28,,805.28
64,779.753,779.753,
128,803.217,,803.217
255,807.916,,807.916
8,804.256,,804.256
16,802.67,,802.67
32,808.397,,808.397
64,802.322,802.322,
128,784.217,784.217,
255,806.405,,806.405
8,799.185,799.185,
16,806.247,,806.247
32,802.485,,802.485
64,803.727,,803.727
128,803.731,,803.731
255,781.669,781.669,
8,805.921,,805.921
16,803.286,,803.286
32,780.581,780.581,
64,779.507,779.507,
128,805.582,,805.582
255,802.39,802.39,
8,802.135,802.135,
16,806.25,,806.25
32,804.08,,804.08
64,802.403,802.403,
128,804.073,,804.073
255,802.107,802.107,
8,806.925,,806.925
16,804.457,,804.457
32,803.43,,803.43
64,805.434,,805.434
128,804.822,,804.822
255,800.923,800.923,
8,805.931,,805.931
16,806.092,,806.092
