Sample number,Total handshake duration (s),Total handshake packets,Total handshake size (B),Time MasterInformationBlock (s),Time SIB1 (s),Time SIB2 SIB3 (s),Time RRCConnectionRequest (s),Time RRCConnectionSetup (s),Time RRCConnectionSetupComplete (s),Size MasterInformationBlock (B),Size SIB1 (B),Size SIB2 SIB3 (B),Size RRCConnectionRequest (B),Size RRCConnectionSetup (B),Size RRCConnectionSetupComplete (B),
651,1.1841199398040771,7,582,0.0,0.09551596641540527,1.115412950515747,1.1398959159851074,1.153670072555542,1.1841199398040771,37,127,75,41,66,191,
652,1.225787878036499,7,582,0.0,0.09698700904846191,1.156203031539917,1.1814119815826416,1.1953999996185303,1.225787878036499,37,127,75,41,66,191,
653,1.1996448040008545,7,582,0.0,0.09854698181152344,1.1318559646606445,1.156599998474121,1.1689338684082031,1.1996448040008545,37,127,75,41,66,191,
654,1.2027349472045898,7,582,0.0,0.09735894203186035,1.1348049640655518,1.1592559814453125,1.1726830005645752,1.2027349472045898,37,127,75,41,66,191,
655,1.2243750095367432,7,582,0.0,0.09729909896850586,1.1569440364837646,1.1811549663543701,1.194788932800293,1.2243750095367432,37,127,75,41,66,191,
656,1.2468371391296387,7,582,0.0,0.09510207176208496,1.1783881187438965,1.2025949954986572,1.2166650295257568,1.2468371391296387,37,127,75,41,66,191,
657,1.1806981563568115,7,582,0.0,0.09613704681396484,1.1132359504699707,1.1369421482086182,1.1502580642700195,1.1806981563568115,37,127,75,41,66,191,
658,1.1590709686279297,7,582,0.0,0.09177207946777344,1.0922489166259766,1.115535020828247,1.1288580894470215,1.1590709686279297,37,127,75,41,66,191,
659,1.1336538791656494,7,582,0.0,0.09225296974182129,1.0663681030273438,1.0897889137268066,1.1032500267028809,1.1336538791656494,37,127,75,41,66,191,
660,1.1822459697723389,7,582,0.0,0.09408998489379883,1.1123640537261963,1.1370658874511719,1.1514630317687988,1.1822459697723389,37,127,75,41,66,191,
661,1.18172287940979,7,582,0.0,0.06964802742004395,1.1143648624420166,1.1379778385162354,1.1516809463500977,1.18172287940979,37,127,75,41,66,191,
662,1.1851179599761963,7,582,0.0,0.09687495231628418,1.1163179874420166,1.1404480934143066,1.1542079448699951,1.1851179599761963,37,127,75,41,66,191,
